Keyword,Match type,Impr.,Interactions,Interaction rate,Conv. rate
 +discount +real +estate +agent,Broad match,"1,878",135,7.19%,7.41%
 +Keller +Williams +house +for +sale,Broad match,0,0, --,0.00%
"""engel & volkers""",Phrase match,8,0,0.00%,0.00%
 +market +value +of +my +house,Broad match,17,1,5.88%,0.00%
 +redfin +listing,Broad match,78,1,1.28%,0.00%
 +house +worth +in +my +area,Broad match,164,16,9.76%,18.75%
 +how +much +can +i +sell +my +property +for,Broad match,41,6,14.63%,8.33%
 +how +much +is +my +property +worth,Broad match,"2,360",336,14.24%,13.69%
 +Keller +Williams +phone +number,Broad match,1,0,0.00%,0.00%
 +redfin +selling +experience,Broad match,0,0, --,0.00%
 +house +valuation +online,Broad match,2,0,0.00%,0.00%
"""Clifton real estate agent""",Phrase match,3,0,0.00%,0.00%
"""Emeryville real estate agent""",Phrase match,1,0,0.00%,0.00%
 +find +cheap +realtor,Broad match,2,0,0.00%,0.00%
"""what is redfin""",Phrase match,0,0, --,0.00%
 +low +cost +listing +agent,Broad match,30,2,6.67%,0.00%
 +Redfin +phone +number,Broad match,6,2,33.33%,0.00%
 +Keller +Williams +homes,Broad match,6,0,0.00%,0.00%
 +house +value +calculator,Broad match,0,0, --,0.00%
 +value of +my +house,Broad match,"8,758","1,179",13.46%,15.68%
 +selling +a +house +with +redfin,Broad match,3,0,0.00%,0.00%
"""engel and volkers realtors""",Phrase match,0,0, --,0.00%
 +house +appraisal +online,Broad match,594,88,14.81%,12.50%
"""engel and volkers realty""",Phrase match,0,0, --,0.00%
 +what +can +i +get +for +my +property,Broad match,0,0, --,0.00%
 +estimate +property +value,Broad match,585,60,10.26%,18.33%
 +web +real +estate +agents,Broad match,887,12,1.35%,8.33%
"""Los Altos Hills real estate agent""",Phrase match,0,0, --,0.00%
"""Antioch real estate agent""",Phrase match,13,0,0.00%,0.00%
[selling home with redfin],Exact match,23,2,8.70%,0.00%
 +redfin +agent,Broad match,183,6,3.28%,16.67%
 +redfin +new +listings,Broad match,4,0,0.00%,0.00%
"""selling a home with redfin""",Phrase match,2,0,0.00%,0.00%
 +value of +house,Broad match,"54,074","4,278",7.91%,8.33%
 +redfin +reviews,Broad match,9,0,0.00%,0.00%
[redfin 1 listing fee],Exact match,16,2,12.50%,0.00%
 +find +what +my +house +is +worth,Broad match,591,91,15.40%,12.09%
 +home +bay +reviews,Broad match,1,0,0.00%,0.00%
"""selling a house with redfin""",Phrase match,6,0,0.00%,0.00%
"""real estate hoboken nj""",Phrase match,23,0,0.00%,0.00%
 +how +much +is +my +property,Broad match,114,14,12.28%,21.43%
 +redfin +real,Broad match,102,4,3.92%,0.00%
"""engel volkers""",Phrase match,6,0,0.00%,0.00%
"""San Mateo real estate agent""",Phrase match,31,0,0.00%,0.00%
 +find +home +value,Broad match,"6,677",681,10.20%,15.93%
"""what is my property worth""",Phrase match,108,15,13.89%,6.67%
 +what +is +redfin,Broad match,4,0,0.00%,0.00%
[trelora listings],Exact match,0,0, --,0.00%
[selling with redfin],Exact match,115,8,6.96%,12.50%
"""buying with redfin""",Phrase match,4,0,0.00%,0.00%
 +house +valuation +online,Broad match,38,4,10.53%,0.00%
"""engel and volkers reviews""",Phrase match,0,0, --,0.00%
[buying a house through redfin],Exact match,20,0,0.00%,0.00%
"""home bay real estate""",Phrase match,1,0,0.00%,0.00%
 +value of +my +home,Broad match,"1,745",188,10.77%,22.61%
 +appraise +my +house,Broad match,621,54,8.70%,16.67%
keller williams mls listings,Broad match,282,6,2.13%,0.00%
"""redfin vs. rex""",Phrase match,0,0, --,0.00%
"""Danville real estate agent""",Phrase match,12,1,8.33%,0.00%
 +online +market +value +estimators,Broad match,17,1,5.88%,0.00%
[redfin agent reviews],Exact match,69,2,2.90%,0.00%
 +redfin +selling +reviews,Broad match,14,0,0.00%,0.00%
 +selling +your +house +with +redfin,Broad match,0,0, --,0.00%
 +market +value +of +home,Broad match,278,23,8.27%,4.35%
 +redfin +listing +agent,Broad match,4,0,0.00%,0.00%
"""Millbrae real estate agent""",Phrase match,0,0, --,0.00%
"""Foster City real estate agent""",Phrase match,2,0,0.00%,0.00%
 +home +values,Broad match,"138,880","8,499",6.12%,8.30%
 +home +bay +real +estate,Broad match,1,0,0.00%,0.00%
 +how +much +is +my +property,Broad match,"1,651",147,8.90%,9.52%
"""my home value""",Phrase match,"7,699",873,11.34%,16.32%
"""house value estimate""",Phrase match,308,46,14.94%,10.87%
[selling your house with redfin],Exact match,46,2,4.35%,0.00%
 +Keller +Williams +com,Broad match,3,0,0.00%,0.00%
"""redfin new listings""",Phrase match,0,0, --,0.00%
 +redfin +realtors,Broad match,46,4,8.70%,25.00%
"""redfin listing agent""",Phrase match,0,0, --,0.00%
"""trelora com""",Phrase match,0,0, --,0.00%
[trelora fees],Exact match,0,0, --,0.00%
 +home +bay +estate,Broad match,0,0, --,0.00%
"""flat fee realtor""",Phrase match,45,5,11.11%,0.00%
 +property +price +estimate,Broad match,18,1,5.56%,0.00%
 +selling +with +redfin +reviews,Broad match,1,0,0.00%,0.00%
 +house +valuation +free,Broad match,0,0, --,0.00%
 +value of +home,Broad match,"133,140","8,306",6.24%,9.49%
 +house +valuation,Broad match,621,57,9.18%,3.51%
 +how +much +is +home +worth,Broad match,300,33,11.00%,6.06%
 +home +value +estimator,Broad match,"2,775",321,11.57%,15.68%
 +trelora +real +estate +reviews,Broad match,0,0, --,0.00%
"""Walnut Creek real estate agent""",Phrase match,14,0,0.00%,0.00%
 +cheap +real +estate +brokers,Broad match,667,49,7.35%,20.41%
 +redfin +fee,Broad match,57,4,7.02%,0.00%
"""property value""",Phrase match,"21,263","1,318",6.20%,7.12%
 +what +price +is +my +house +worth,Broad match,0,0, --,0.00%
 +property +price +estimate,Broad match,605,59,9.75%,11.86%
[selling with redfin reviews],Exact match,49,2,4.08%,0.00%
 +estimate +what +my +house +is +worth,Broad match,1,0,0.00%,0.00%
 +how +much +is +my +home +worth,Broad match,900,141,15.67%,19.15%
 +Keller +Williams +home +for +sale,Broad match,0,0, --,0.00%
"""local realtor""",Phrase match,852,31,3.64%,12.90%
"""Camden real estate agent""",Phrase match,25,2,8.00%,0.00%
"""Larkspur realtor""",Phrase match,0,0, --,0.00%
[1 listing fee],Exact match,13,0,0.00%,0.00%
"""Kearny realtor""",Phrase match,0,0, --,0.00%
 +fixed +fee +realtor,Broad match,263,15,5.70%,4.28%
[redfin recent sales],Exact match,0,0, --,0.00%
"""what's my home worth""",Phrase match,"8,884",730,8.22%,15.82%
[redfin selling experience],Exact match,1,0,0.00%,0.00%
 +how +much +is +my +house,Broad match,"10,728","1,524",14.21%,14.13%
"""home estimate""",Phrase match,"11,941",844,7.07%,13.27%
[redfin new listings],Exact match,0,0, --,0.00%
"""redfin listing commission""",Phrase match,0,0, --,0.00%
"""killer realtor""",Phrase match,0,0, --,0.00%
"""home bay""",Phrase match,22,1,4.55%,0.00%
"""redfin sell my home""",Phrase match,0,0, --,0.00%
 +value of +house,Broad match,"5,204",395,7.59%,8.35%
 +price +my +house,Broad match,"3,840",428,11.15%,11.68%
 +property +estimate,Broad match,"1,264",114,9.02%,14.04%
[trelora com],Exact match,3,0,0.00%,0.00%
 +trelora +reviews,Broad match,1,0,0.00%,0.00%
"""redfin selling experience""",Phrase match,0,0, --,0.00%
 +what +can +i +get +for +my +property,Broad match,1,0,0.00%,0.00%
"""trelora real estate""",Phrase match,0,0, --,0.00%
"""trelora zillow""",Phrase match,0,0, --,0.00%
 +home +valuations,Broad match,"4,603",244,5.30%,6.97%
 +real +estate +agent +directory,Broad match,302,8,2.65%,0.00%
 +internet +realtors,Broad match,"1,165",56,4.81%,10.71%
 +selling +your +home +with +redfin,Broad match,0,0, --,0.00%
 +selling +through +redfin,Broad match,15,1,6.67%,0.00%
 +trelora +fees,Broad match,2,0,0.00%,0.00%
 +home +bay +website,Broad match,0,0, --,0.00%
"""Berkeley real estate agent""",Phrase match,30,2,6.67%,0.00%
"""engel & volkers real estate""",Phrase match,0,0, --,0.00%
 +selling +house +with +redfin,Broad match,0,0, --,0.00%
"""redfin real estate app""",Phrase match,0,0, --,0.00%
 +house +estimate,Broad match,"2,727",152,5.57%,11.84%
"""South San Francisco realtor""",Phrase match,13,0,0.00%,0.00%
 +check +the +value +of +my +home,Broad match,17,3,17.65%,33.33%
"""Corte Madera realtor""",Phrase match,0,0, --,0.00%
 +check +the +value +of +my +home,Broad match,563,102,18.12%,21.57%
"""Fairview real estate agent""",Phrase match,0,0, --,0.00%
 +what +is +my +home +worth,Broad match,905,96,10.61%,14.58%
 +find +what +my +house +is +worth,Broad match,7,0,0.00%,0.00%
[buying with redfin],Exact match,25,0,0.00%,0.00%
"""2 real estate commission""",Phrase match,706,75,10.62%,18.67%
[Redfin valuation],Exact match,45,2,4.44%,0.00%
 +find +home +value,Broad match,567,66,11.64%,12.12%
 +redfin +broker +fee,Broad match,0,0, --,0.00%
 +free +realtors,Broad match,41,0,0.00%,0.00%
[redfin cost],Exact match,46,3,6.52%,0.00%
[trelora real estate reviews],Exact match,2,0,0.00%,0.00%
"""redfin realtors""",Phrase match,26,0,0.00%,0.00%
 +selling +a +home +with +redfin,Broad match,0,0, --,0.00%
"""redfin agent fees""",Phrase match,0,0, --,0.00%
 +value +my +house +online,Broad match,139,19,13.67%,15.79%
 +redfin +selling +costs,Broad match,19,1,5.26%,0.00%
 +get +an +estimate +on +my +house,Broad match,4,0,0.00%,0.00%
"""Clifton realtor""",Phrase match,23,1,4.35%,0.00%
 +redfin +listing +commission,Broad match,2,1,50.00%,0.00%
"""redfin 1 listing fee""",Phrase match,0,0, --,0.00%
 +Keller +Williams +homes +for +sale +near +me,Broad match,0,0, --,0.00%
 +trelora +estate,Broad match,1,0,0.00%,0.00%
 +what +is +my +house +worth,Broad match,"1,747",237,13.57%,18.57%
"""cheap realtors""",Phrase match,22,1,4.55%,0.00%
[redfin realtors],Exact match,112,9,8.04%,0.00%
"""West New York realtor""",Phrase match,0,0, --,0.00%
"""Santa Clara realtor""",Phrase match,24,0,0.00%,0.00%
 +redfin +recent +sales,Broad match,1,0,0.00%,0.00%
 +house +much +is +my +house +worth,Broad match,2,0,0.00%,0.00%
"""Lafayette real estate agent""",Phrase match,7,1,14.29%,0.00%
"""home estimate""",Phrase match,"1,365",121,8.86%,9.50%
"""redfin seller commission""",Phrase match,0,0, --,0.00%
"""Des Plaines realtor""",Phrase match,81,3,3.70%,0.00%
"""Kearny real estate agent""",Phrase match,0,0, --,0.00%
 +home +bay +search,Broad match,0,0, --,0.00%
"""selling your home with redfin""",Phrase match,0,0, --,0.00%
"""property value""",Phrase match,"162,119","10,202",6.29%,9.85%
"""whats my house worth""",Phrase match,"12,104","1,417",11.71%,15.70%
"""Mill Valley real estate agent""",Phrase match,5,0,0.00%,0.00%
"""Chicago realtor""",Phrase match,"4,608",121,2.63%,3.31%
 +low +commission +real +estate +agent,Broad match,564,62,10.99%,24.19%
