month,ct_listings,ct_sales,homes for sale,townhomes for sale,Homes in,townhouses in,Homes near me,zillow homes for sale,selling a house,house appraisal,home values,house valuations,property value,real estate values,home value estimator,how much is my house,home worth,house prices,rexhomes,zillow,real estate agents,best realtors,for sale by owner,redfin,trulia,realtor.com,Homes in Denver,selling a house in Denver,house appraisal in Denver,for sale by owner in Denver,median_listing_price,active_listing_count,median_days_on_market,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,pending_ratio,supply_score,demand_score,ldpviews_per_property_vs_us,MORTGAGE15US,MORTGAGE30US,MORTGAGE5US,unemployment_rate,avg_hour_salary,avg_week_salary,building_permits,building_permits_1unit
2017-01,3990,3713,47.77489434270035,49.558282538062905,61.75990842752907,32.35806793190521,15.021557305869964,20.90389327525179,46.15267832291688,38.9742372076457,62.64480216639083,19.86707382791448,49.6687009590236,29.153207929571234,48.830045933531494,100.0,68.9018187736502,22.416254232873086,23.815526758798875,25.973184357541882,70.50821415908301,51.74847374847373,34.005487333848365,32.7341514284328,66.35780470420534,25.09682119713178,51.03804390171337,92.80139524743844,36.72538334811809,95.39231803915712,529440.0,4289.0,69.5,236.0,1100.0,273.0,181.75565580000003,3015.5,726591.0,0.0637,88.9632107,95.98662207,2.0909,3.3875,4.15,3.2424999999999997,3.1,28.417102402122197,1000.86640283955,2045.17923734495,754.0821568707298
2017-02,4848,3586,46.65233187513894,45.221664294728924,75.11804263843183,46.02916021829438,13.096634622709049,14.36609492694437,45.37081551580165,52.000474890181636,27.19773331327409,22.908807855817017,21.00261551874456,35.26980809424283,11.604971629289384,75.61642886826439,62.01733327908207,47.63740557436832,9.760012527894133,35.726256983240205,53.10247015719182,68.84615384615385,68.74750273034816,53.640199835087536,68.01677564638922,32.43605966486441,60.03725766580011,68.08371484630477,100.0,47.07069197429382,537000.0,4265.0,41.0,236.0,1096.0,302.0,183.6764806,3115.0,743657.0,0.0708,97.65886288,94.64882943,2.0078,3.38,4.1675,3.195,2.9,28.483132864686304,993.845378655141,2110.996346451,899.1206543613762
2017-03,7038,5444,58.237562096833784,74.59117639161147,71.1189011303477,64.950720860145,20.866405642986628,16.979762228877398,99.36742491333712,56.09640270687403,48.91805827190206,77.40853841087362,82.65911072362687,65.48071442143265,53.282896514455565,22.942928383432626,28.306953655857114,54.14951810367282,15.83212621853345,45.05027932960896,83.74305637631484,50.41514041514042,68.65427133001252,49.614395886889454,76.03788982201701,46.254649334713704,70.69748333675687,34.764915340454905,56.6404764922063,100.0,549050.0,4655.0,29.5,268.0,1372.0,337.0,183.9666667,3130.0,744191.0,0.0724,98.66220736,90.96989967,1.9077,3.414,4.196,3.214,2.7,28.336824827302397,989.235930724166,2071.86229796264,946.871882177094
2017-04,6812,5356,58.26203010306222,66.08308047581957,75.66175418514811,72.61545980288341,17.544447660689528,26.207459842090955,76.27843425014557,65.55858957616054,29.14598064289649,53.220765223639354,88.34350479511767,95.60453480271076,40.35125641718453,64.73195733481097,65.96411278837928,86.14118259963516,5.4715577653368825,48.614525139664785,91.69719891265801,44.27594627594625,73.68477131669374,53.70325459572196,84.32757961717647,46.075386326162814,56.31644933028279,54.08909236247374,82.25573438094031,36.513226722463024,539050.0,5266.0,26.0,244.0,1532.0,500.0,208.33333330000002,2624.0,728484.0,0.0949,98.66220736,87.95986622,1.7077,3.3,4.045,3.1475,2.5,28.6353501331548,1019.3828265205499,2370.69630349524,794.439087030405
2017-05,7696,6538,51.62007859420163,49.13536156386772,62.14050651023038,60.40563655616194,21.502460427489748,10.695162900444686,100.0,72.8006648462543,45.00651923173356,89.39584456020599,83.15605928509154,60.43764646272722,50.628208592272365,62.18543657939704,94.41551043658707,56.79083094555872,6.706338331441097,42.603351955307225,84.16853799787259,55.17704517704517,61.415519032524436,57.263423388465824,88.98116871713825,55.51976686222628,51.197416046295814,71.87704381948986,17.37422379926498,50.23912718577194,529500.0,6064.0,25.5,312.0,2344.0,587.0,210.43065380000002,2584.0,713719.0,0.0968,98.3277592,81.60535117,1.5645,3.255,4.01,3.1174999999999997,2.4,28.406285477015,1017.73465204511,1483.0773736466,880.37091780795
2017-06,8037,6856,61.52591384295985,70.825165811874,76.11961654027758,82.99258776574081,29.458858300705362,18.69044377892731,83.60997950456714,50.26712572717558,60.069705631613225,27.112148973115378,67.40191804707932,86.26258787763634,25.763307214266423,71.31066167982647,96.82630101314236,73.79004949205523,33.4807970872646,38.25139664804465,41.62628530906511,45.28693528693529,59.877200926986504,46.53926371441044,97.45679547966574,71.26998734614055,48.371216682367724,40.106096940629314,46.800152071980754,26.20684501569272,522550.0,6715.0,29.0,300.0,2916.0,589.0,183.13233780000002,3015.0,699105.0,0.0877,97.99331104,79.93311037,1.4472,3.174,3.904,3.136,2.8,28.2808101970679,1018.62029746556,2591.00088671584,969.1284599603281
2017-07,6775,6096,64.95588344331557,55.873902419376456,76.85791958792382,53.06019385843443,27.178963725833732,26.621290498230337,81.8906404190177,52.31390241006768,59.96188756832649,37.53308185138619,48.39232781168264,23.28203179428717,39.00567414212377,33.37489033568828,77.04764617325148,74.27142485022125,22.763183651098146,46.482681564245816,53.2052948824016,47.816849816849775,53.472203723928644,51.34791676771596,100.0,67.02710993519685,59.08173311894825,74.0585713247583,51.61323026232415,71.10895232401734,515050.0,7362.0,31.0,332.0,3508.0,613.0,184.4965675,2947.0,690954.0,0.0833,97.99331104,80.60200669,1.4286,3.2350000000000003,3.9675,3.2199999999999998,2.7,28.929345605486606,1043.49550331992,1825.2070032782294,858.520409754788
2017-08,6629,6266,40.780010380366114,49.42402191133434,53.94190871369295,51.01409139040482,29.268422736482872,24.026681187040573,92.97841653804302,44.10542562032529,12.45424000802359,53.52972875875698,12.781168265039241,1.7733865349293811,39.536611726560395,56.933093226208676,58.92501118932336,48.04897108622038,19.970246251419184,29.55865921787705,66.27467202458337,55.311355311355314,55.92152579846037,41.31541931415822,71.83364839319472,65.7147513324897,42.09903739224672,40.84732214228616,41.97186668356356,64.14586758332088,499950.0,7576.0,34.5,292.0,3660.0,603.0,184.8666451,2868.0,679705.0,0.0796,97.65886288,82.60869565,1.4524,3.16,3.88,3.152,2.7,28.9380015613895,1028.86655932836,2134.40888830339,934.3631724412061
2017-09,5958,5485,25.409653740639047,12.13313283746416,33.26656173987695,64.89370367353588,28.36575816206827,5.603956801887648,60.185724045444154,36.25192924136293,50.88636477608941,15.2924974552422,22.27550130775937,24.241560580150747,82.73439610915969,62.76261716765949,20.14891972169103,60.51575931232091,49.70833496456951,17.743016759776513,41.70901784659023,44.175824175824175,26.95985722276977,25.18310132414997,50.32177425186196,65.12519651827137,44.96065278830416,16.357822832642967,80.47775947281714,49.51427290390075,499950.0,7548.0,37.0,284.0,3484.0,506.0,186.6477273,2826.0,678067.0,0.067,97.65886288,86.28762542,1.5172,3.1049999999999995,3.805,3.1624999999999996,2.6,29.0733709441214,1027.68825427151,1390.83851861345,940.731656355609
2017-10,4985,5414,20.367761548157407,0.2738916785264962,23.837458863928877,29.86234422090088,26.039397309526333,20.537253834286254,42.04853116064875,31.219280541374825,59.80642896544808,25.615232620801226,41.06190061028772,75.71727151814557,35.72007565522832,35.046405319296326,70.35846523172063,29.676478249544118,17.758289942449984,19.13966480446919,43.05519442146318,24.852258852258863,14.346980634506323,32.01241693747877,54.817316929560846,58.13106330764217,80.11885620382637,32.927839546544625,63.586364212393896,40.58436706023013,500025.0,6980.0,41.0,268.0,3012.0,506.0,188.2991767,2822.5,683941.0,0.0725,96.65551839,90.30100334,1.6271,3.1999999999999997,3.895,3.1799999999999997,2.6,29.1198836049582,1038.99728103885,1280.85803923139,947.3850676583161
