"zip","city","county","pop"
"81023","Beulah","Pueblo","1192"
"80809","Cascade","El Paso","1185"
"80624","Gill","Weld","1180"
"81152","San Luis","Costilla","1170"
"80728","Fleming","Logan","1156"
"80611","Briggsdale","Weld","1154"
"81131","Crestone","Saguache","1125"
"80105","Deer Trail","Arapahoe","1123"
"81645","Minturn","Eagle","1114"
"81154","South Fork","Rio Grande","1112"
"80836","Stratton","Kit Carson","1082"
"81523","Glade Park","Mesa","1074"
"80515","Drake","Larimer","1069"
"80821","Hugo","Lincoln","1066"
"81036","Eads","Kiowa","1059"
"81058","Manzanola","Otero","1051"
"80743","Otis","Washington","1043"
"81427","Ouray","Ouray","1039"
"81090","Walsh","Baca","1025"
"81424","Nucla","Montrose","1000"
"80451","Hot Sulphur Springs","Grand","994"
"80482","Winter Park","Grand","991"
"80741","Merino","Logan","974"
"80420","Alma","Park","962"
"80623","Gilcrest","Weld","951"
"80835","Simla","Elbert","947"
"81123","Blanca","Costilla","937"
"81630","De Beque","Mesa","900"
"80045","Aurora","Adams","889"
"81020","Aguilar","Las Animas","877"
"81233","Howard","Fremont","872"
"81041","Granada","Prowers","860"
"80545","Red Feather Lakes","Larimer","845"
"81149","Saguache","Saguache","825"
"80428","Clark","Routt","824"
"81235","Lake City","Hinsdale","797"
"81130","Creede","Mineral","793"
"80427","Central City","Gilpin","781"
"80819","Green Mountain Falls","El Paso","779"
"80449","Hartsel","Park","778"
"81143","Moffat","Saguache","774"
"81146","Mosca","Alamosa","772"
"81092","Wiley","Prowers","766"
"80653","Weldona","Morgan","764"
"80820","Guffey","Park","751"
"80832","Ramah","El Paso","750"
"80483","Yampa","Routt","748"
"80815","Flagler","Kit Carson","731"
"80833","Rush","El Paso","729"
"81025","Boone","Pueblo","722"
"81077","Swink","Otero","719"
"80827","Lake George","Park","717"
"80456","Jefferson","Park","715"
"81430","Placerville","San Miguel","711"
"81076","Sugar City","Crowley","705"
"81422","Naturita","Montrose","691"
"81231","Gunnison","Gunnison","680"
"80736","Iliff","Logan","679"
"80729","Grover","Weld","669"
"80860","Victor","Teller","610"
"81242","Poncha Springs","Chaffee","561"
"81643","Mesa","Mesa","561"
"81059","Model","Las Animas","541"
"80481","Ward","Boulder","537"
"81091","Weston","Las Animas","523"
"80436","Dumont","Clear Creek","517"
"81433","Silverton","San Juan","516"
"81057","Mc Clave","Bent","512"
"80438","Empire","Clear Creek","502"
"80497","Silverthorne","Summit","497"
"80101","Agate","Elbert","492"
"80726","Crook","Logan","490"
"80727","Eckley","Yuma","460"
"81222","Coaldale","Fremont","460"
"80733","Hillrose","Morgan","450"
"81253","Wetmore","Custer","445"
"80914","Colorado Springs","El Paso","443"
"80455","Jamestown","Boulder","438"
"80825","Kit Carson","Cheyenne","434"
"80468","Parshall","Grand","410"
"81327","Lewis","Montezuma","401"
"80744","Ovid","Sedgwick","394"
"80747","Peetz","Logan","383"
"80805","Bethune","Kit Carson","383"
"81244","Rockvale","Fremont","381"
"80735","Idalia","Yuma","380"
"80457","Kittredge","Jefferson","372"
"81649","Red Cliff","Eagle","370"
"80469","Phippsburg","Routt","366"
"80025","Eldorado Springs","Boulder","365"
"81431","Redvale","Montrose","364"
"81221","Coal Creek","Fremont","346"
"80612","Carr","Weld","338"
"80024","Dupont","Adams","336"
"80649","Orchard","Morgan","334"
"81121","Arboles","Archuleta","333"
"80652","Roggen","Weld","330"
"80818","Genoa","Lincoln","326"
"80546","Severance","Weld","324"
"80510","Allenspark","Boulder","323"
"80802","Arapahoe","Cheyenne","322"
"81610","Dinosaur","Moffat","320"
"81331","Pleasant View","Montezuma","320"
"81148","Romeo","Conejos","312"
"81071","Sheridan Lake","Kiowa","299"
"81040","Gardner","Huerfano","298"
"80131","Louviers","Douglas","295"
"80721","Amherst","Phillips","295"
"80745","Padroni","Logan","287"
"80750","Snyder","Morgan","285"
"81049","Kim","Las Animas","275"
"80749","Sedgwick","Sedgwick","274"
"81064","Pritchett","Baca","269"
"80812","Cope","Washington","269"
"81155","Villa Grove","Saguache","263"
"80722","Atwood","Logan","259"
"81033","Crowley","Crowley","251"
"81029","Campo","Baca","247"
"81434","Somerset","Gunnison","244"
"80861","Vona","Kit Carson","240"
"80804","Arriba","Lincoln","239"
"80453","Idledale","Jefferson","237"
"80824","Kirk","Yuma","235"
"81044","Hasty","Bent","228"
"80423","Bond","Eagle","225"
"81210","Almont","Gunnison","224"
"80532","Glen Haven","Larimer","223"
"81646","Molina","Mesa","222"
"80834","Seibert","Kit Carson","218"
"80757","Woodrow","Washington","211"
"80742","New Raymer","Weld","209"
"80488","Steamboat Springs","Routt","205"
"81124","Capulin","Conejos","204"
"81136","Hooper","Alamosa","197"
"80822","Joes","Yuma","196"
"81126","Chama","Costilla","194"
"81325","Egnar","San Miguel","192"
"81024","Boncarbo","Las Animas","190"
"81320","Cahone","Dolores","187"
"80432","Como","Park","187"
"81027","Branson","Las Animas","187"
"80463","Mc Coy","Eagle","186"
"81030","Cheraw","Otero","183"
"80830","Matheson","Elbert","181"
"80425","Buffalo Creek","Jefferson","179"
"80476","Silver Plume","Clear Creek","178"
"80754","Stoneham","Weld","177"
"81656","Woody Creek","Pitkin","175"
"81332","Rico","Dolores","174"
"80622","Galeton","Weld","170"
"80823","Karval","Lincoln","163"
"81251","Twin Lakes","Lake","159"
"81638","Hamilton","Moffat","153"
"80511","Estes Park","Larimer","151"
"81426","Ophir","San Miguel","141"
"80929","Colorado Springs","El Paso","140"
"81220","Cimarron","Montrose","134"
"81522","Gateway","Mesa","131"
"80477","Steamboat Springs","Routt","130"
"81087","Vilas","Baca","123"
"80801","Anton","Washington","120"
"80544","Niwot","Boulder","119"
"80755","Vernon","Yuma","117"
"81241","Pitkin","Gunnison","114"
"80740","Lindon","Washington","112"
"81655","Wolcott","Eagle","105"
"81248","Sargents","Saguache","102"
"81640","Maybell","Moffat","101"
"81243","Powderhorn","Gunnison","101"
"81128","Chromo","Archuleta","100"
"81330","Mesa Verde National Park","Montezuma","94"
"80426","Burns","Eagle","83"
"81081","Trinchera","Las Animas","78"
"81084","Two Buttes","Baca","76"
"81129","Conejos","Conejos","73"
"80746","Paoli","Phillips","64"
"81239","Parlin","Gunnison","64"
"81045","Haswell","Kiowa","60"
"81138","Jaroso","Costilla","58"
"81043","Hartman","Prowers","58"
"80448","Grant","Park","55"
"81411","Bedrock","Montrose","52"
"81429","Paradox","Montrose","46"
"80862","Wild Horse","Cheyenne","44"
"80434","Cowdrey","Jackson","41"
"81237","Ohio City","Gunnison","38"
"81021","Arlington","Kiowa","31"
"80475","Shawnee","Park","30"
"81232","Hillside","Fremont","27"
"81335","Yellow Jacket","Montezuma","24"
"81653","Slater","Moffat","16"
"81227","Monarch","Chaffee","6"
"80479","Toponas","Routt","5"
"80473","Rand","Jackson","4"
"80471","Pinecliffe","Boulder","0"
"80419","Golden","Jefferson","0"
"81612","Aspen","Pitkin","0"
"81642","Meredith","Pitkin","0"
"81038","Fort Lyon","Bent","0"
"80290","Denver","Denver","0"
"80294","Denver","Denver","0"
"81633","Dinosaur","Moffat","0"
"80264","Denver","Denver","0"
"80293","Denver","Denver","0"
